1,Tino Livramento,75,RB,350,83,47,65,74,70,67,75834765747067
2,Djed Spence,75,RWB,350,89,43,58,74,67,63,75894358746763
3,Jonny,79,LWB,350,74,54,71,76,78,69,79745471767869
4,Max Kilman,77,CB,350,61,42,63,63,78,78,77614263637878
5,Rayan Aït Nouri,76,LWB,350,77,44,70,76,73,62,76774470767362
6,Nathan Collins,75,CB,350,71,30,54,61,76,76,75713054617676
7,Saša Kalajdžić,78,ST,350,63,75,68,73,46,70,78637568734670
8,Guaita,79,GK,350,80,77,78,81,51,77,79807778815177
9,Matty Cash,79,RB,350,80,67,71,75,74,76,79806771757476
10,Conor Coady,79,CB,350,47,57,75,66,79,73,79475775667973
11,James Tarkowski,79,CB,350,55,45,65,62,81,80,79554565628180
12,Michael Keane,79,CB,350,52,49,63,62,80,79,79524963628079
13,Jonny Evans,79,CB,350,50,32,60,58,82,76,79503260588276
14,Patrick Bamford,78,ST,350,82,78,68,73,42,77,78827868734277
15,Joël Veltman,78,CB,350,64,49,67,70,79,76,78644967707976
16,Marcos Senesi,78,CB,350,60,42,69,74,79,78,78604269747978
17,Jesse Lingard,78,CAM,350,75,77,73,79,57,65,78757773795765
18,Çağlar Söyüncü,78,CB,350,71,46,60,65,78,79,78714660657879
19,Emerson,78,RWB,350,74,62,71,74,75,76,78746271747576
20,Timothy Castagne,78,RB,350,76,58,71,75,75,73,78765871757573
21,Thomas Strakosha,78,GK,350,79,76,73,79,43,77,78797673794377
22,Ben Mee,78,CB,350,61,42,58,62,80,77,78614258628077
23,Duje Ćaleta-Car,78,CB,350,59,39,59,62,79,81,78593959627981
24,Aaron Cresswell,78,LB,350,64,60,75,75,77,68,78646075757768
25,Willy Boly,78,CB,350,58,36,64,63,77,79,78583664637779
26,Frédéric Guilbert,78,RWB,350,74,49,69,72,75,78,78744969727578
27,Craig Dawson,78,CB,350,49,47,59,55,79,77,78494759557977
28,Ivan Toney,77,ST,350,78,76,63,73,49,82,77787663734982
29,Fabian Schär,77,CB,350,51,67,70,67,78,74,77516770677874
30,Rodrigo,77,CAM,350,77,77,76,78,45,69,77777776784569
1,Kelechi Iheanacho,77,ST,350,73,79,70,77,38,70,77737970773870
2,Joachim Andersen,77,CB,350,52,50,68,64,77,80,77525068647780
3,Taiwo Awoniyi,77,ST,350,83,76,59,70,32,80,77837659703280
4,Matt Doherty,77,RWB,350,68,65,73,73,74,75,77686573737475
5,Pascal Groß,77,CM,350,50,74,81,75,58,72,77507481755872
6,Emerson,77,LB,350,74,63,75,78,73,63,77746375787363
7,Robert Sanchéz,77,GK,350,78,75,71,80,45,77,77787571804577
8,Ludwig Augustinsson,77,LB,350,64,62,77,74,74,70,77646277747470
9,Illan Meslier,77,GK,350,79,76,73,81,38,72,77797673813872
10,Oliver Skipp,77,CDM,350,65,47,68,71,75,71,77654768717571
11,Mohammed Salisu,77,CB,350,69,36,51,55,79,80,77693651557980
12,Dan Burn,77,CB,350,47,33,65,63,77,80,77473365637780
13,Yerry Mina,77,CB,350,37,54,59,58,78,77,77375459587877
14,James McArthur,75,CDM,350,52,67,71,72,74,68,75526771727468
15,Fraser Forster,76,GK,350,76,72,67,81,30,75,76767267813075
16,Asmir Begović,75,GK,350,75,77,73,71,43,73,75757773714373
17,Séamus Coleman,76,RB,350,65,65,72,76,77,70,76656572767770
18,Adam Lallana,75,CM,350,61,70,77,77,62,61,75617077776261
19,Danny Welbeck,75,ST,350,70,73,67,74,42,66,75707367744266
20,Luke Ayling,75,RB,350,64,57,64,72,75,75,75645764727575
21,Alex McCarthy,75,GK,350,74,72,61,80,57,72,75747261805772
22,Liam Cooper,76,CB,350,49,35,56,58,77,77,76493556587777
23,Chris Wood,76,ST,350,59,77,60,70,40,80,76597760704080
24,Karl Darlow,75,GK,350,77,71,68,78,58,74,75777168785874
25,Pontus Jansson,75,CB,350,53,42,54,62,75,79,75534254627579
26,Joel Robles Blázquez,75,GK,350,76,73,72,77,52,73,75767372775273
27,Jordan Ayew,75,RW,350,74,73,69,77,55,73,75747369775573
28,Jeffrey Schlupp,76,LM,350,84,71,69,76,71,74,76847169767174
29,Stuart Armstrong,76,RM,350,70,77,73,76,65,71,76707773766571
30,Jannik Vestergaard,75,CB,350,32,48,61,49,75,77,75324861497577
1,Jamaal Lascelles,75,CB,350,41,35,49,53,75,75,75413549537575
2,Stuart Dallas,75,CM,350,70,70,71,74,73,76,75707071747376
3,Ryan Fredericks,75,RB,350,91,51,66,73,69,67,75915166736967
4,Calum Chambers,75,CB,350,65,56,69,68,76,73,75655669687673
5,Harrison Reed,75,CDM,350,69,57,72,70,72,74,75695772707274
6,Sam Johnstone,75,GK,350,77,72,68,77,42,74,75777268774274
7,Solly March,75,LWB,350,73,67,74,77,67,62,75736774776762
8,Robin Olsen,75,GK,350,76,74,78,75,35,75,75767478753575
9,Adam Webster,76,CB,350,68,31,60,69,77,74,76683160697774
10,Danny Ward,75,GK,350,75,73,67,76,45,74,75757367764574
11,Christian Nørgaard,76,CDM,350,58,60,69,69,76,78,76586069697678
12,Morgan Sanson,76,CM,350,69,73,77,75,70,72,76697377757072
13,Daniel Amartey,76,CB,350,63,55,65,69,76,76,76635565697676
14,Alex Iwobi,75,RM,350,74,64,72,78,38,65,75746472783865
15,Jefferson Lerma,75,CDM,350,70,64,69,72,72,81,75706469727281
16,Ayoze Pérez Gutiérrez,76,RW,350,76,70,73,80,58,63,76767073805863
17,David Brooks,76,RW,350,69,71,75,79,48,62,76697175794862
18,Harry Wilson,76,RM,350,77,78,76,76,45,58,76777876764558
19,Philip Billing,75,CM,350,58,71,71,72,72,79,75587171727279
20,David Raya Martin,76,GK,350,76,74,80,77,53,75,76767480775375
21,Tosin Adarabioyo,75,CB,350,72,31,57,58,75,77,75723157587577
22,Marek Rodák,75,GK,350,76,71,73,76,48,73,75767173764873
23,Marvelous Nakamba,75,CDM,350,62,49,62,71,74,76,75624962717476
24,Kristoffer Ajer,75,CB,350,72,56,61,70,75,81,75725661707581
25,Mason Holgate,75,CB,350,71,43,68,68,76,76,75714368687676
26,Dominic Solanke,75,ST,350,71,74,64,73,28,78,75717464732878
27,Ché Adams,76,ST,350,81,77,62,75,40,77,76817762754077
28,Chalobah,76,CB,350,64,47,65,68,76,76,76644765687676
29,Romain Perraud,76,LB,350,72,72,75,75,72,73,76727275757273
30,James Justin,76,LB,350,81,50,69,72,73,70,76815069727370
1,Eberechi Eze,76,CAM,350,75,70,74,81,47,67,76757074814767
2,Ryan Sessegnon,75,LWB,350,82,65,72,77,68,66,75826572776866
3,Marc Roca Junqué,76,CDM,350,45,62,76,72,70,67,76456276727067
4,Morgan Gibbs-White,75,CAM,350,76,70,73,76,57,66,75767073765766
5,Jean-Philippe Mateta,76,ST,350,71,74,57,73,34,78,76717457733478
6,Ethan Pinnock,75,CB,350,67,37,57,61,76,79,75673757617679
7,Pascal Struijk,76,CB,350,57,38,61,63,77,76,76573861637776
8,Boubakary Soumaré,76,CDM,350,68,56,73,74,70,80,76685673747080
9,Alexis Mac Allister,76,CAM,350,69,77,78,75,56,62,76697778755662
10,Tyrick Mitchell,76,LB,350,77,39,60,70,75,68,76773960707568
11,Junior Firpo,75,LB,350,75,62,70,71,72,75,75756270717275
12,Tariq Lamptey,75,RWB,350,87,44,66,76,70,49,75874466767049
13,Cheick Doucouré,76,CM,350,68,57,71,76,74,76,76685771767476
14,Bryan Mbeumo,75,RW,350,81,73,70,76,41,71,75817370764171
15,Vitaliy Mykolenko,76,LB,350,76,46,64,61,73,62,76764664617362
16,Manor Solomon,76,LM,350,80,71,74,79,43,57,76807174794357
17,Aaron Hickey,75,LWB,350,77,55,69,73,70,58,75775569737058
18,Brennan Johnson,75,RW,350,88,72,67,76,41,57,75887267764157
19,Luke Thomas,75,LB,350,75,42,66,71,71,71,75754266717171
20,Armando Broja,75,ST,350,76,74,54,75,29,76,75767454752976
21,Layvin Kurzawa,75,LB,350,71,65,72,76,72,69,75716572767269
22,Neal Maupay,76,ST,350,74,77,67,73,41,72,76747767734172
23,Leander Dendoncker,76,CM,350,61,69,76,71,77,81,76616976717781
24,Jan Bednarek,76,CB,350,48,22,53,55,77,78,76482253557778
25,Ainsley Maitland-Niles,75,RWB,350,78,62,70,74,70,71,75786270747071
26,Carlos Vinícius Alves Morais,76,ST,350,71,76,61,73,41,79,76717661734179
27,Andreas Hugo Hoelgebaum Pereira,76,CAM,350,76,74,77,78,65,68,76767477786568
28,Deniz Undav,77,ST,400,68,80,71,75,32,76,77688071753276
29,Sven Botman,80,CB,400,58,37,60,62,80,84,80583760628084
30,Pablo Fornals,79,CAM,400,67,74,79,79,69,71,79677479796971
1,Dean Henderson,79,GK,400,80,78,77,82,55,75,79807877825575
2,Danny Ings,79,ST,400,72,82,70,78,45,70,79728270784570
3,Lewis Dunk,79,CB,400,44,51,62,63,80,79,79445162638079
4,Manuel Lanzini,79,CAM,400,69,73,79,82,41,55,79697379824155
5,Douglas Luiz,78,CDM,400,67,68,77,77,73,70,78676877777370
6,Dennis Praet,78,CAM,400,66,72,78,79,63,66,78667278796366
7,Kyle Walker-Peters,78,RB,400,76,43,68,76,74,71,78764368767471
8,Jack Harrison,77,LM,400,80,72,71,79,49,69,77807271794969
9,Jonjo Shelvey,77,CM,400,40,71,80,72,62,74,77407180726274
10,Issa Diop,77,CB,400,62,36,52,56,78,78,77623652567878
11,Matt Targett,77,LB,400,69,47,72,72,74,69,77694772727469
12,Tom Cairney,75,CM,400,58,73,77,76,62,64,75587377766264
13,Mohamed Elyounoussi,76,LM,400,77,74,71,78,55,70,76777471785570
14,Will Hughes,75,CM,400,48,64,77,76,68,63,75486477766863
15,Ryan Fraser,76,RM,400,83,69,71,80,49,61,76836971804961
16,Diego Llorente,76,CB,400,67,40,63,68,75,78,76674063687578
17,Joelinton,75,CM,400,76,67,66,76,67,84,75766766766784
18,Tom Davies,75,CM,400,65,64,73,75,69,70,75656473756970
19,Orel Mangala,75,CM,400,64,54,71,82,70,72,75645471827072
20,Joseph Willock,75,CM,400,76,72,69,77,67,70,75767269776770
21,Anthony Gordon,75,LM,450,80,69,72,75,37,62,75806972753762
22,Remo Freuler,80,CM,450,68,71,75,78,75,74,80687175787574
23,Kepa Arrizabalaga,80,GK,450,79,78,85,82,34,77,80797885823477
24,Gianluca Scamacca,80,ST,450,73,80,66,74,36,74,80738066743674
25,Saïd Benrahma,78,LM,450,75,73,75,81,40,56,78757375814056
26,Rob Holding,77,CB,450,54,34,61,66,78,73,77543461667873
27,Wout Faes,77,CB,450,59,38,55,58,78,77,77593855587877
28,Ruben Loftus-Cheek,76,CM,450,65,68,75,78,66,75,76656875786675
29,Robin Koch,76,CB,450,62,38,60,64,77,73,76623860647773
30,Mikkel Damsgaard,76,LM,450,84,68,71,81,48,62,76846871814862
1,Dwight McNeil,76,LM,450,70,65,75,79,53,66,76706575795366
2,Bryan Gil Salvatierra,77,LM,450,77,69,74,82,31,35,77776974823135
3,Michael Olise,76,RW,450,80,70,76,80,50,53,76807076805053
4,João Moutinho,81,CM,500,47,71,84,79,71,66,81477184797166
5,Tomáš Souček,81,CDM,500,57,72,73,72,82,85,81577273728285
6,Victor Lindelöf,80,CB,500,59,51,72,72,82,76,80595172728276
7,Kurt Zouma,80,CB,500,62,51,62,56,80,84,80625162568084
8,Martin Dúbravka,80,GK,500,78,76,79,81,46,77,80787679814677
9,Oleksandr Zinchenko,79,LB,500,68,65,80,80,77,69,79686580807769
10,Angelo Ogbonna,79,CB,500,49,40,60,62,82,68,79494060628268
